username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
wendyeuphoria;2015-09-01 16:58;0;0;"The person who gave me wrong direction was supposed to take the bus with me. But ends up getting a ride from a friend #livid #pissed";;;#livid #pissed;"638863580792799232";https://twitter.com/wendyeuphoria/status/638863580792799232
IamHeavyChevy;2015-09-01 16:58;0;0;"#Dont #Be #Mad #ITS #ABOUT #TO #HAPPEN #FREE #FEATURES #TIL #NOVEMBER #TrapHouseRoyalty 💽 https://instagram.com/p/7G3VsAR62L/";;;#Dont #Be #Mad #ITS #ABOUT #TO #HAPPEN #FREE #FEATURES #TIL #NOVEMBER #TrapHouseRoyalty;"638863503542124544";https://twitter.com/IamHeavyChevy/status/638863503542124544
MAlblwi;2015-09-01 16:57;0;0;"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed";;;#anger #righteous #Paradise #Quran #reward #goodDeed;"638863313615593472";https://twitter.com/MAlblwi/status/638863313615593472
Amazongoldltd;2015-09-01 16:57;0;0;"Spell check is pissing me off #pissedoff #notimpressed";;;#pissedoff #notimpressed;"638863247785988096";https://twitter.com/Amazongoldltd/status/638863247785988096
aaa999bbb99966;2015-09-01 16:56;0;0;"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed";;;#anger #righteous #Paradise #Quran #reward #goodDeed;"638863082375237633";https://twitter.com/aaa999bbb99966/status/638863082375237633
macdougalz12;2015-09-01 16:54;0;0;"CHECK IT OUT http://ebay.to/1E668IW #Anger Inside Out Small #Figure #sales #InsideOut #ebay #shopping";;;#Anger #Figure #sales #InsideOut #ebay #shopping;"638862629608509440";https://twitter.com/macdougalz12/status/638862629608509440
hasshh2;2015-09-01 16:54;0;0;"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed";;;#anger #righteous #Paradise #Quran #reward #goodDeed;"638862606950907904";https://twitter.com/hasshh2/status/638862606950907904
Amal_alshaeef;2015-09-01 16:51;0;0;"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed";;;#anger #righteous #Paradise #Quran #reward #goodDeed;"638861771370008576";https://twitter.com/Amal_alshaeef/status/638861771370008576
coldcat32;2015-09-02 16:59;0;0;"#Mad max is da bomb. What a great movie. #Charlize is the best actress in the world.";;;#Mad #Charlize;"639226226188546048";https://twitter.com/coldcat32/status/639226226188546048
stephaniesayys;2015-09-02 16:59;0;1;".... #spongebob #loop #anger #what #krustykrab https://vine.co/v/eTbtvZKPOBM";;;#spongebob #loop #anger #what #krustykrab;"639226189291384833";https://twitter.com/stephaniesayys/status/639226189291384833
schooIgirIdiana;2015-09-02 16:57;0;0;"okk soo i went to Food4Less and bought some food...just food tht wont last foreva and i planned on getting chips but i totally forgot!! #mad";;;#mad;"639225652592275457";https://twitter.com/schooIgirIdiana/status/639225652592275457
jammeree;2015-09-02 16:56;0;0;"@BeautifullyTame I've been waiting on my order to arrive since May 12. I have been told it will ship "next week" each week. #pissed";;@BeautifullyTame;#pissed;"639225535445372932";https://twitter.com/jammeree/status/639225535445372932
MGTRRZ;2015-09-02 16:54;0;0;"@hardball @joanwalsh @ryangrim @perrybaconjr #HATE TO ?ADMIT- #JEB 's HIT #DT 's #Sweet -Spot Of #ANGER #Trump Can #DISH -IT/CAN'T-TAKE•IT #BITCH !";;@hardball @joanwalsh @ryangrim @perrybaconjr;#HATE #JEB #DT #Sweet #ANGER #Trump #DISH #BITCH;"639224798896365568";https://twitter.com/MGTRRZ/status/639224798896365568
subsequenced;2015-09-02 16:50;0;0;"@britzkopf I'm so #mad at you!";Edmonton, Alberta;@britzkopf;#mad;"639223873255247872";https://twitter.com/subsequenced/status/639223873255247872
stephensmith64;2015-09-02 16:50;0;1;"Sit aside with all the other hoes that fucked me over cuz im not gonna be fucked over anymore 🔥 🔥 #sad #angry";;;#sad #angry;"639223861771239429";https://twitter.com/stephensmith64/status/639223861771239429
paramedrusty;2015-09-02 16:48;1;1;"@drsgrier just had to go & sit with my sleeping toddler son, I held his hand & he held mine back #heartbreaking #anger wemustactnow";;@drsgrier;#heartbreaking #anger;"639223407566036992";https://twitter.com/paramedrusty/status/639223407566036992
77a7sas;2015-09-02 16:46;0;0;"Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed";;;#anger #righteous #Paradise #Quran #reward #goodDeed;"639222790827192320";https://twitter.com/77a7sas/status/639222790827192320
RealBrianGould;2015-09-03 16:58;0;0;"Advertise all month that the Michigan game starts at 7. No it doesn't! 8:30... #Mad https://instagram.com/p/7MA96QNNF2/";;;#Mad;"639588341822955520";https://twitter.com/RealBrianGould/status/639588341822955520
thekinggmoney;2015-09-03 16:56;0;0;"I can't even record my song without this dumb big a** dog keep barkin' #pissedoff http://fb.me/2q42lpYA9";;;#pissedoff;"639587755178262532";https://twitter.com/thekinggmoney/status/639587755178262532
_imKOLDD;2015-09-03 16:54;0;0;"@_AZhaneCimone I was mad af because they didn't have anymore used ones for like $50 so I had to get the new one for $81.99 😡 #pissed";;@_AZhaneCimone;#pissed;"639587345755451392";https://twitter.com/_imKOLDD/status/639587345755451392
macdougalz12;2015-09-03 16:53;0;0;"CHECK IT OUT http://ebay.to/1E668IW #Anger Inside Out Small #Figure #sales #InsideOut #ebay #shopping";;;#Anger #Figure #sales #InsideOut #ebay #shopping;"639586950471663616";https://twitter.com/macdougalz12/status/639586950471663616
