username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TJ__Lewis;2015-09-01 16:59;0;0;"One more day in work then 2 days off! #CantWait";;;#CantWait;"638863775215521792";https://twitter.com/TJ__Lewis/status/638863775215521792
BriannaCorbitt;2015-09-01 16:57;0;3;""Homecoming would be sour without you, so let's make it sweet. Would you go with me?" 😋 #cantwait https://instagram.com/p/7G3N8uun7u/";;;#cantwait;"638863213300449280";https://twitter.com/BriannaCorbitt/status/638863213300449280
cantwait_bot;2015-09-01 16:57;0;0;"his album 😇 😇 😇";;;;"638863159718096896";https://twitter.com/cantwait_bot/status/638863159718096896
Oh_itsAlexx;2015-09-01 16:56;0;2;"Three full days of work and errands then Labor Day Weekend with my families!!! #itllbeworthit #almostyhere #twodown #threetogo #cantwait";;;#itllbeworthit #almostyhere #twodown #threetogo #cantwait;"638863065593815040";https://twitter.com/Oh_itsAlexx/status/638863065593815040
sassylewis91;2015-09-01 16:56;0;0;"TEENAGE DIRTBAG? IS THAT REAL? CANTWAIT FOR THE VIDEO, argh skool sucks.";;;;"638862911587270656";https://twitter.com/sassylewis91/status/638862911587270656
josheast4;2015-09-01 16:55;0;7;"3 more days then it's Baton Rouge for the weekend #McNeeseVsLSU #CantWait";;;#McNeeseVsLSU #CantWait;"638862728958865408";https://twitter.com/josheast4/status/638862728958865408
TabiiDragon;2015-09-01 16:53;0;0;"Damn! Another Single of Taewan. ㅠㅠ ♥ #CantWait . :} https://twitter.com/TaewanakaCLuv/status/638567184038522880";;;#CantWait;"638862359440654336";https://twitter.com/TabiiDragon/status/638862359440654336
kawaiaki17;2015-09-01 16:53;0;1;"@itsShowtimena hello po have a nive day sa inyong lahat:-) #cantwait showtime";;@itsShowtimena;#cantwait;"638862209918087168";https://twitter.com/kawaiaki17/status/638862209918087168
theGayWilliams;2015-09-01 16:52;0;2;"@shanherrold @TheSwonBrothers @sethcostner I see MY 2 faves in that line-up. I've only got 1 in September, but it's these guys! #CantWait";;@shanherrold @TheSwonBrothers @sethcostner;#CantWait;"638862042431115264";https://twitter.com/theGayWilliams/status/638862042431115264
CurrieErin;2015-09-01 16:52;1;4;"Seeing the fam tomorrow 🙊 @crrroy @zoebean95 @dspeev @broookewagner 💕 #cantwait";;@crrroy @zoebean95 @dspeev @broookewagner;#cantwait;"638862031496593409";https://twitter.com/CurrieErin/status/638862031496593409
passionistam;2015-09-02 16:58;0;0;"It's not perfect but I can fix that!!! #funzies #cantwait https://instagram.com/p/7JcK_YwbD-9CEaQf67UcSej7jqtXj4WlQOcuY0/";;;#funzies #cantwait;"639225954443902976";https://twitter.com/passionistam/status/639225954443902976
rupaulsons;2015-09-02 16:57;2;7;"got all my supplies and my LUCKY pen for school tomorrow! #cantwait 😄";;;#cantwait;"639225750495870977";https://twitter.com/rupaulsons/status/639225750495870977
reybaby17;2015-09-02 16:57;0;0;"Milan moves into the farm in 3 weeks #yay #cantwait 🎉 👏🏼 😍";;;#yay #cantwait;"639225691540705284";https://twitter.com/reybaby17/status/639225691540705284
MarieJo_laroche;2015-09-02 16:56;0;0;"#cantwait https://twitter.com/NBCChicagoPD/status/639138243389165568";;;#cantwait;"639225331480678400";https://twitter.com/MarieJo_laroche/status/639225331480678400
zubuattacks;2015-09-02 16:56;0;0;"It's almost Autumn, the best time of the year. #cantwait #summergtfo";;;#cantwait #summergtfo;"639225320625848320";https://twitter.com/zubuattacks/status/639225320625848320
