username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
lostinreolity;2015-09-01 16:58;0;0;"there's people dying of hunger and he thinks he can play with food Oh my God Michael Clifford How dare u #disgusting";;;#disgusting;"638863561037639685";https://twitter.com/lostinreolity/status/638863561037639685
IronTomVane;2015-09-01 16:58;0;1;"Can't wait to see @BEARTOOTHband at the @EBallroomCamden in November. #Disgusting has been an amazing album for me just lately.";;@BEARTOOTHband @EBallroomCamden;#Disgusting;"638863558911094784";https://twitter.com/IronTomVane/status/638863558911094784
jenjenn00;2015-09-01 16:58;0;0;"the new #Windows10 commercial is horrifying!!! babies don't need to start growing up with technology before they can walk&talk #disgusted";Teaticket, MA;;#Windows10 #disgusted;"638863418682929152";https://twitter.com/jenjenn00/status/638863418682929152
Theresa_is_Dead;2015-09-01 16:56;0;2;"@Alex_Weibert @ruder_than_you I opened the door and I think the one almost had a heart attack and he muttered something like sorry #gross";;@Alex_Weibert @ruder_than_you;#gross;"638862973520510976";https://twitter.com/Theresa_is_Dead/status/638862973520510976
Miss_Omen;2015-09-01 16:54;0;1;"Farrah eats with her mouth open #gross can't stand that! @bbuk #CBBUK #CBB";;@bbuk;#gross #CBBUK #CBB;"638862577699827712";https://twitter.com/Miss_Omen/status/638862577699827712
CrystiCaro;2015-09-01 16:53;0;1;"Video of live bug in our sealed bag of pasta. Ugh. So #gross . @BettyCrocker";;@BettyCrocker;#gross;"638862203505000452";https://twitter.com/CrystiCaro/status/638862203505000452
ariana32299;2015-09-01 16:52;3;15;"it's 2015... Racism shouldn't still be a thing #disgusted";;;#disgusted;"638861968942698497";https://twitter.com/ariana32299/status/638861968942698497
FreddyBoomBoomW;2015-09-01 16:52;0;0;"#garbage #juice is the most #disgusting thing that has ever existed https://instagram.com/p/7G2o2GqJCfeFR1EXljDrk1u030oxmSQ3EK4qY0/";;;#garbage #juice #disgusting;"638861937871335424";https://twitter.com/FreddyBoomBoomW/status/638861937871335424
RickyDouglas17;2015-09-01 16:51;0;1;"What I just went through I wouldn't wish upon my worst enemies. #disgusting";;;#disgusting;"638861750243356672";https://twitter.com/RickyDouglas17/status/638861750243356672
swagmasterpayne;2015-09-02 16:58;0;6;"Tyga and Kylie may be gross, but what about Hermione and Victor Krum? 14 y/o and pro athlete??? #gross";;;#gross;"639225863960068096";https://twitter.com/swagmasterpayne/status/639225863960068096
TylerLHunt;2015-09-02 16:58;4;2;"People who say "there's onions in there, but you can't taste them" clearly love onions #Disgusting";;;#Disgusting;"639225812634365952";https://twitter.com/TylerLHunt/status/639225812634365952
Cheri_Kentucky;2015-09-02 16:54;0;0;"" @RedAlert @beccaroses " nuclear option?... @McConnellPress is a waste of cons vote #disgusted ..WTP can wait #defund IF= #PROSECUTE FIRST";;@RedAlert @beccaroses @McConnellPress;#disgusted #defund #PROSECUTE;"639224892446130176";https://twitter.com/Cheri_Kentucky/status/639224892446130176
SheriSchmitz;2015-09-02 16:53;0;0;"#disgusting #endthisshit #trump https://twitter.com/karmas_mom/status/639202013839015936";;;#disgusting #endthisshit #trump;"639224671435517956";https://twitter.com/SheriSchmitz/status/639224671435517956
BrieannKnorr;2015-09-02 16:52;0;0;"tried crocodile jerky from Australia... Who actually eats that stuff... #gross";;;#gross;"639224367067594752";https://twitter.com/BrieannKnorr/status/639224367067594752
jennspettlc;2015-09-02 16:50;0;1;"It's #gross , but here's why your #dog eats poop. And believe it or not, it makes sense. #PoopEater https://twitter.com/SidewalkDog/status/639200152440426496";;;#gross #dog #PoopEater;"639223913696751616";https://twitter.com/jennspettlc/status/639223913696751616
alixisabella_;2015-09-02 16:50;0;2;"Immigrants are people, they are HUMAN BEINGS and deserve our help! They're terrified and all our govt can do is call them names #disgusted";;;#disgusted;"639223793165172736";https://twitter.com/alixisabella_/status/639223793165172736
TSPnow;2015-09-02 16:50;0;1;"Bill #Gross Says Fed Has Waited Too Long to Raise #Rates #Business http://www.bloomberg.com/news/videos/2015-09-02/bill-gross-says-fed-has-waited-too-long-to-raise-rates";;;#Gross #Rates #Business;"639223788412891136";https://twitter.com/TSPnow/status/639223788412891136
Zac86Taylor;2015-09-02 16:44;0;1;"When your walking your dog and he sneezes in the wind and it goes all over your legs is really gross. #gross #dog #walk #hesstillmyfav";McPherson, KS;;#gross #dog #walk #hesstillmyfav;"639222383421685760";https://twitter.com/Zac86Taylor/status/639222383421685760
JustSher1;2015-09-02 16:44;0;0;"@jimmylinguini right, so he can video it later when it dying and laugh and post it on youtube? sure! donate right away! #sickening";;@jimmylinguini;#sickening;"639222338442162178";https://twitter.com/JustSher1/status/639222338442162178
CWhelr;2015-09-03 16:59;0;0;"@jbwiu #thestruggleisreal Or... time to start dipping #gross";;@jbwiu;#thestruggleisreal #gross;"639588536241516544";https://twitter.com/CWhelr/status/639588536241516544
RuthCassidy_XO;2015-09-03 16:59;0;0;"My workout makes me feel #sweaty #gross #fantastic enough slacking off! Back to it! https://instagram.com/p/7MBDJng6p5/";;;#sweaty #gross #fantastic;"639588520542248960";https://twitter.com/RuthCassidy_XO/status/639588520542248960
Sela_Sel;2015-09-03 16:57;0;0;"I'm so out of shape #Gross";;;#Gross;"639588023039094784";https://twitter.com/Sela_Sel/status/639588023039094784
sene77;2015-09-03 16:54;0;0;"#this happened to me today my yard dude #disgusting & yes I was 😡 😡 https://instagram.com/p/7MAh5FCVkPqaFyNkfP2qoQpnWhrayqRiWBOa00/";;;#this #disgusting;"639587381935521792";https://twitter.com/sene77/status/639587381935521792
Danny_T_1453;2015-09-03 16:53;0;0;"@13thgravegypt great idea. We have a guy at our fire station who constantly Picassos the toilet bowl 💩 💩 #gross";;@13thgravegypt;#gross;"639586989457678336";https://twitter.com/Danny_T_1453/status/639586989457678336
RolloffTongue;2015-09-03 16:53;1;0;"UH-OH... New audioboom from WhatSoFunny? http://goo.gl/ctzLb #joke #pun #disgust #discussed";;;#joke #pun #disgust #discussed;"639586978825129984";https://twitter.com/RolloffTongue/status/639586978825129984
asbjorjo;2015-09-03 16:52;0;0;"Just sat down on @united 97 and found this gift. Could have been useful if it wasn't used... #gross";;@united;#gross;"639586918800355328";https://twitter.com/asbjorjo/status/639586918800355328
Marissa1Lindsay;2015-09-03 16:51;0;1;"If I can't tell whether you are wearing a wetsuit or a dress, we have a problem. #gross";;;#gross;"639586446358249472";https://twitter.com/Marissa1Lindsay/status/639586446358249472
_adubs_007;2015-09-03 16:49;0;0;"now I smell like feces #gross";;;#gross;"639586139167424512";https://twitter.com/_adubs_007/status/639586139167424512
