username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Athena0089;2015-09-01 16:59;0;1;"Fml I just saw a mice run across my living room like he was a damn ninja #panic attacks #anxiety I'm about to move out @_0914x";;@_0914x;#panic #anxiety;"638863848456519682";https://twitter.com/Athena0089/status/638863848456519682
flightlessbirdk;2015-09-01 16:58;0;0;"I was just attacked by a punch of pigeons at Old Navy #scary #pigeons";;;#scary #pigeons;"638863560026664961";https://twitter.com/flightlessbirdk/status/638863560026664961
MCDJHomer;2015-09-01 16:57;0;0;"#nightmare #elmstreet #london #sightseeing https://instagram.com/p/7G3RESO80b/";;;#nightmare #elmstreet #london #sightseeing;"638863319751913472";https://twitter.com/MCDJHomer/status/638863319751913472
vagabondent;2015-09-01 16:57;1;0;"You survived #anotherday . Get out of that #fetalposition and have fun. @AtGrannysHouse will still be here. http://bit.ly/18oYwrn #creepy";;@AtGrannysHouse;#anotherday #fetalposition #creepy;"638863176709312512";https://twitter.com/vagabondent/status/638863176709312512
sand_aaron;2015-09-01 16:56;0;0;"When you and your friends keep sending crazy weird shit to each other #weird #creepy";;;#weird #creepy;"638863083004407809";https://twitter.com/sand_aaron/status/638863083004407809
drbiondo;2015-09-01 16:55;0;0;"Tips for Thwarting #Panic Attacks http://buff.ly/1Kp7cQ8 #anxiety #psychology";;;#Panic #anxiety #psychology;"638862719010119680";https://twitter.com/drbiondo/status/638862719010119680
BenWatsonJr;2015-09-01 16:54;0;0;"Sometimes #Fear keeps us safe. Sometimes it holds us back. #OliviaPope @shondarhimes";;@shondarhimes;#Fear #OliviaPope;"638862435407937536";https://twitter.com/BenWatsonJr/status/638862435407937536
bmorecatlover;2015-09-01 16:54;0;1;"@disnazzio @belle_noire Yeah, we got the preliminary "watch for extra pedestrian and motor vehicle traffic tomorrow" email this pm. #scary";;@disnazzio @belle_noire;#scary;"638862421222924288";https://twitter.com/bmorecatlover/status/638862421222924288
entertainmentoh;2015-09-02 16:59;0;0;"Sneak peek of the Chamber of Horrors, Trilogy of Fear. Hauppague New York. #fear #chamberofhorrors … https://instagram.com/p/7JcRfau2el/";;;#fear #chamberofhorrors;"639226173407543296";https://twitter.com/entertainmentoh/status/639226173407543296
UncorkOntario;2015-09-02 16:56;0;0;"@littlemissmocha our new theme? #creepy #ONWineChat";;@littlemissmocha;#creepy #ONWineChat;"639225531809071104";https://twitter.com/UncorkOntario/status/639225531809071104
srslydalegreen;2015-09-02 16:56;0;0;""Another Dark Pun" I don't know if this had the effect I was going for... #scary #dark #death #creepy #funn ... https://vine.co/v/eTbTri7rX50";;;#scary #dark #death #creepy #funn;"639225524632571904";https://twitter.com/srslydalegreen/status/639225524632571904
LuxeCosplay;2015-09-02 16:55;0;1;"He's climbing in yo windows snatching yo people up! #creepy #squirrel https://instagram.com/p/7Jb1P7Qhkm/";;;#creepy #squirrel;"639225202954620928";https://twitter.com/LuxeCosplay/status/639225202954620928
chelseamusic92;2015-09-02 16:55;0;0;"Holy monkfish #monkfish #wholefoods #omg #creepy https://instagram.com/p/7Jb1LcoZxD/";;;#monkfish #wholefoods #omg #creepy;"639225200408690688";https://twitter.com/chelseamusic92/status/639225200408690688
