username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ModernLifeTimes;2015-09-01 16:59;0;0;"((Spread Smiles & #Happiness )) - ModernLifeTimes http://bit.ly/SmTzYa #Inspiration";;;#Happiness #Inspiration;"638863869826498560";https://twitter.com/ModernLifeTimes/status/638863869826498560
CassyLynn92;2015-09-01 16:59;0;0;"Good morning beautiful texts are literally the best. #happiness";;;#happiness;"638863861257400320";https://twitter.com/CassyLynn92/status/638863861257400320
Non_Aggression;2015-09-01 16:59;0;2;"#Surrender as path to #Happiness https://twitter.com/911well/status/638839666310037505";;;#Surrender #Happiness;"638863682471133184";https://twitter.com/Non_Aggression/status/638863682471133184
DheZt_PoppiN;2015-09-01 16:58;0;0;"#tall #sister #latepost #feelblessed #ootd #happy #smile #danceforJesus #goodday #grace … https://instagram.com/p/7G3YgfjyfW/";Lubuk Baja, Indonesia;;#tall #sister #latepost #feelblessed #ootd #happy #smile #danceforJesus #goodday #grace;"638863584286666756";https://twitter.com/DheZt_PoppiN/status/638863584286666756
ElRoliiPolii;2015-09-01 16:58;0;0;"#Happy ✨";;;#Happy;"638863559875661824";https://twitter.com/ElRoliiPolii/status/638863559875661824
cute_pet_co;2015-09-01 16:58;0;0;"💜 #pet #love #cute #lovecutepets #wow #beautiful #bowtie #bow #nice #happy #loveties #cool #stunning #beauty #onelov …";;;#pet #love #cute #lovecutepets #wow #beautiful #bowtie #bow #nice #happy #loveties #cool #stunning #beauty #onelov;"638863545912950784";https://twitter.com/cute_pet_co/status/638863545912950784
durando95;2015-09-01 16:58;0;0;"#work #black #blessed #happy #young #awesomeness #1september https://instagram.com/p/7G3W16tU_J/";;;#work #black #blessed #happy #young #awesomeness #1september;"638863519870513153";https://twitter.com/durando95/status/638863519870513153
Brelapu;2015-09-01 16:58;0;0;"Island Days, Island Ways, snorkel, sand & sunny days. #islasmarietas #island #marietas #happiness … https://instagram.com/p/7G3Whhm9uk/";Bahía de Banderas, Nayarit;;#islasmarietas #island #marietas #happiness;"638863507702829056";https://twitter.com/Brelapu/status/638863507702829056
Tvt_photography;2015-09-02 16:59;0;0;"#outdoor #photography #canon #5d #trying #happy #love #ilovewhatimdoing #tekka #litteiindia #sg50 … https://instagram.com/p/7JcTHoFBO8/";;;#outdoor #photography #canon #5d #trying #happy #love #ilovewhatimdoing #tekka #litteiindia #sg50;"639226237899153408";https://twitter.com/Tvt_photography/status/639226237899153408
mathias_aja;2015-09-02 16:59;0;0;"Geng rumpiikk klo udh kumpul woww rame and aksis mulu... #happiness #latepost #gokill #like #good … https://instagram.com/p/7JcSSkDqCS/";;;#happiness #latepost #gokill #like #good;"639226212850733058";https://twitter.com/mathias_aja/status/639226212850733058
