username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BajwaSan;2016-06-20 16:59;0;3;"#Happy moments with friends....... ☝ 👆 ☝ 👆 ☝ 👆";;;#Happy;"745043453780852736";https://twitter.com/BajwaSan/status/745043453780852736
marian_kralik;2016-06-20 16:58;0;0;"#amazing #happy #newyork 👋 👋 ☀️";Queensbridge Park;;#amazing #happy #newyork;"745043220283932672";https://twitter.com/marian_kralik/status/745043220283932672
breedreamin13;2016-06-20 16:58;0;2;"Look out world. Big girl pants ✔️ #flourish #happy #content … https://www.instagram.com/p/BG5UQ-ekljpmqhJ56dg-L3M7pKVmn7qDm1k7M80/";;;#flourish #happy #content;"745043155200905216";https://twitter.com/breedreamin13/status/745043155200905216
plasticlimbo;2016-06-20 16:58;0;2;"Winter has come #goodevening #Rio #carioca #brasil #love #happy #day #rainy #winter #sky #beach … https://www.instagram.com/p/BG5UOewsA03/";;;#goodevening #Rio #carioca #brasil #love #happy #day #rainy #winter #sky #beach;"745043075915874305";https://twitter.com/plasticlimbo/status/745043075915874305
queenvhyna;2016-06-20 16:56;0;1;"If you do not enjoy what you are doing, you will never be good at it. -Luke Parker #happy … https://www.instagram.com/p/BG5UEzhtMJe/";Lipa City, Calabarzon;;#happy;"745042739973103616";https://twitter.com/queenvhyna/status/745042739973103616
blogg_ADON;2016-06-20 16:56;0;1;"A week in June 2016 🚜 🌞 🐗 #adonlive #adonbuse #men #gay #lover #happy https://www.instagram.com/p/BG5UDgAzUBq/";;;#adonlive #adonbuse #men #gay #lover #happy;"745042701251338240";https://twitter.com/blogg_ADON/status/745042701251338240
wdhiker;2016-06-20 16:56;0;0;""Play is the highest form of research" ~ Albert Einstein #kids #children #love #happy #blessed … https://www.instagram.com/p/BG5UBm9FyBP/";;;#kids #children #love #happy #blessed;"745042633370664960";https://twitter.com/wdhiker/status/745042633370664960
annisafasa;2016-06-20 16:56;0;0;"Cause all of me loves all of you 💙 #smile #wakeup #happy @Sumedang https://www.instagram.com/p/BG5UBlAoHGd/";Sumedang Selatan, Indonesia;@Sumedang;#smile #wakeup #happy;"745042632187904002";https://twitter.com/annisafasa/status/745042632187904002
CarinaGarrecht;2016-06-20 16:55;0;0;"I'm so in #love with #Frankfurt ! It's soo #amazing to be on the #MainTower - feeling free & #happy Moment!";;;#love #Frankfurt #amazing #MainTower #happy;"745042323298525184";https://twitter.com/CarinaGarrecht/status/745042323298525184
HeyWeddingDay;2016-06-20 16:55;1;3;"For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul. —Judy Garland #wedding #happy #love";;;#wedding #happy #love;"745042298065477632";https://twitter.com/HeyWeddingDay/status/745042298065477632
HauteDerriere;2016-06-20 16:55;4;7;"A woman with a voice is, by definition, a strong woman. —Melinda Gates #love #women #happy";;;#love #women #happy;"745042297046372352";https://twitter.com/HauteDerriere/status/745042297046372352
Kriswaterson;2016-06-20 16:54;0;1;"My first ever car :) #corsa #corsasxi #car #firstcar #happy #independence #beaut https://www.instagram.com/p/BG5Tzwjt6-G/";;;#corsa #corsasxi #car #firstcar #happy #independence #beaut;"745042151847895041";https://twitter.com/Kriswaterson/status/745042151847895041
torrieday24;2016-06-21 16:59;0;2;"I love my hair! #hair #new #blonde #pretty #wonderful #hairdo #inlove #boomshakalaka #amazing #happy";;;#hair #new #blonde #pretty #wonderful #hairdo #inlove #boomshakalaka #amazing #happy;"745405838785843200";https://twitter.com/torrieday24/status/745405838785843200
Meltoledok;2016-06-21 16:59;0;0;"Hermosurasss 😍 #Cats #AritoNuevo #Happy https://www.instagram.com/p/BG75Jx0TGQ59Eqyn5XP3qtEBuar3iU13C7OA880/";;;#Cats #AritoNuevo #Happy;"745405747257741312";https://twitter.com/Meltoledok/status/745405747257741312
manojvm00;2016-06-21 16:58;0;1;"#happy birthday to my thalaivar. Ilayathalapathy vijay";;;#happy;"745405575303831554";https://twitter.com/manojvm00/status/745405575303831554
CarrieLogan10;2016-06-21 16:58;0;0;"I am glowing. #I_AM #positive #affirmation #happy http://itunes.apple.com/app/id874656917?at=11lv8V&ct=Iam";;;#I_AM #positive #affirmation #happy;"745405553187360772";https://twitter.com/CarrieLogan10/status/745405553187360772
XxLPlolmanxX;2016-06-21 16:58;0;0;"I liked a @YouTube video from @toysusacollecto http://youtu.be/ZfhsgTAtLdA?a #masha #bear #Surprise";;@YouTube @toysusacollecto;#masha #bear #Surprise;"745405441484554242";https://twitter.com/XxLPlolmanxX/status/745405441484554242
Babyprs15Melo;2016-06-21 16:57;0;0;"🔝 #love #instagood #photooftheday top.tags #tbt #cute #me #beautiful #followme #happy #follow … https://www.instagram.com/p/BG74-fEIwnT/";;;#love #instagood #photooftheday #tbt #cute #me #beautiful #followme #happy #follow;"745405358831702017";https://twitter.com/Babyprs15Melo/status/745405358831702017
JoeK0ng;2016-06-21 16:56;0;0;"A gym workout isn't complete without a #SweatySelfie #Gym #Workout #Happy #LoveIt #Cardio … https://www.instagram.com/p/BG741BltqHV/";;;#SweatySelfie #Gym #Workout #Happy #LoveIt #Cardio;"745405033894772736";https://twitter.com/JoeK0ng/status/745405033894772736
Studentfourm;2016-06-21 16:56;0;0;"Dreams Are A Way To Tell Ourselves That We r Still Capable Of Bringing Happiness In Our Lives Never Stop Dreaming #Motivation #Happy 16t...";;;#Motivation #Happy;"745404966773235712";https://twitter.com/Studentfourm/status/745404966773235712
xXBelle_;2016-06-21 16:55;0;0;"Cant wait for the end of the year #surprise";;;#surprise;"745404884204269568";https://twitter.com/xXBelle_/status/745404884204269568
StackCashh;2016-06-21 16:55;0;0;"At the end of the day you gotta be #happy for you.";;;#happy;"745404818999521281";https://twitter.com/StackCashh/status/745404818999521281
worldloveflower;2016-06-21 09:38;235;315;"#flowers can't solve all problems but they're a great start 😘 😘 #happy #flower #day 🐝 #Vine https://vine.co/v/5BJJiJWYdwu";;;#flowers #happy #flower #day #Vine;"745294788451274752";https://twitter.com/worldloveflower/status/745294788451274752
spencerkeife;2016-06-22 16:59;0;0;"Always search for the best in every opportunity. #life #love #happy #glasshalffull … https://www.instagram.com/p/BG-d_AbgmBD/";;;#life #love #happy #glasshalffull;"745768217088524289";https://twitter.com/spencerkeife/status/745768217088524289
