username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
n_joyful;2015-09-01 16:59;0;3;"She attempted suicide and decided to portrait herself #photography #depression #art #creative";;;#photography #depression #art #creative;"638863801316564992";https://twitter.com/n_joyful/status/638863801316564992
Arabyu020695;2015-09-01 16:59;0;0;"It feels pretty awkward when your student asks you about your age hahahahhahaha #sad";;;#sad;"638863754654945280";https://twitter.com/Arabyu020695/status/638863754654945280
2010Jestony;2015-09-01 16:59;0;0;"How I long to find a gold that un-tarnishable. Well I am used to find bronze quoted gold. Hahaha. #How #Sad";;;#How #Sad;"638863718785392640";https://twitter.com/2010Jestony/status/638863718785392640
Valvoline8;2015-09-01 16:58;0;0;"Tomorrow will be one week with no satellite and still no resolution from @DIRECTV or @Uverse I'm not a happy camper. #unhappy #noservice";;@DIRECTV @Uverse;#unhappy #noservice;"638863601093115905";https://twitter.com/Valvoline8/status/638863601093115905
scsonggal90;2015-09-01 16:58;0;1;"@LaurHof11 The problem is that so many parents have no idea how to "parent" they put their lives out like their kids #sad really";;@LaurHof11;#sad;"638863559435227137";https://twitter.com/scsonggal90/status/638863559435227137
fgk2014;2015-09-01 16:58;0;0;"#Vaccine against #depression ! A heart which has a strong link with #Allah . #treatment";;;#Vaccine #depression #Allah #treatment;"638863442993135616";https://twitter.com/fgk2014/status/638863442993135616
Jeremyrodgers26;2015-09-01 16:58;0;1;"@_nessiee04 the movie comes on in a little bit #sad :(";;@_nessiee04;#sad;"638863405491728384";https://twitter.com/Jeremyrodgers26/status/638863405491728384
AML2K;2015-09-01 16:57;0;0;"St. Mattress, Church of the Inner Spring. Arguably the only church in the world that can never run out of room. #sad #tragic";;;#sad #tragic;"638863351259336705";https://twitter.com/AML2K/status/638863351259336705
TheTweetOfEdgar;2015-09-01 16:57;0;0;"He seems like an actual good candidate. But thats the same reason he won't win or get killed. #sad https://twitter.com/ohhewantstheP/status/638852083496677376";;;#sad;"638863349657178112";https://twitter.com/TheTweetOfEdgar/status/638863349657178112
PhillipAPteam;2015-09-02 16:59;0;0;"#JudyGarland A picture made in the mid-60's #Tears ? #Sadness ? who knows?!";;;#JudyGarland #Tears #Sadness;"639226246048649217";https://twitter.com/PhillipAPteam/status/639226246048649217
