username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rachelswhimsy;2015-09-01 16:55;0;1;"Cynthia @#tworedbowls just changed my life with Baked yeast doughnuts with hibiscus glaze. #astonishing https://www.bloglovin.com/blog/post/10578861/4508627980";;@;#tworedbowls #astonishing;"638862801562431488";https://twitter.com/Rachelswhimsy/status/638862801562431488
carocanesfan;2015-09-01 16:55;0;0;"@HuffPostPol THAT'S what you get out of the email scandal? #astonishing #ridiculous #mediaflak";;@HuffPostPol;#astonishing #ridiculous #mediaflak;"638862798735454208";https://twitter.com/carocanesfan/status/638862798735454208
putts_04;2015-09-01 16:53;0;0;"Wow I really don't know what to think of that play by Donaldson. A man with 36 HR bunting?? @CharlesTweed #teamplayer #surprise";;@CharlesTweed;#teamplayer #surprise;"638862276192133120";https://twitter.com/putts_04/status/638862276192133120
Grayspear;2015-09-01 16:48;0;0;"#surprise https://twitter.com/drudge_report/status/638846367813644289";;;#surprise;"638861098893090817";https://twitter.com/Grayspear/status/638861098893090817
ThemeParkRider;2015-09-01 16:47;0;0;"wesling111: RT ONELONEDOLPHIN: Granny_of_10 #SeaWorld #ResistanceISfutile you WILL be assimilated #WAKEUPCALL";;;#SeaWorld #ResistanceISfutile #WAKEUPCALL;"638860721061818372";https://twitter.com/ThemeParkRider/status/638860721061818372
crabigail21;2015-09-01 16:45;0;4;"week 2 day 2: most of the money I earned this summer has gone towards PSU apparel #shocker";;;#shocker;"638860182609641473";https://twitter.com/crabigail21/status/638860182609641473
DrWalshPHD;2015-09-01 16:44;0;0;"Alex Speir on the NESN broadcast #shocker @kirkmin @GerryCallahan";;@kirkmin @GerryCallahan;#shocker;"638860109955899392";https://twitter.com/DrWalshPHD/status/638860109955899392
Paulaables;2015-09-02 16:58;0;1;"Thanks @DWR_Tweets for stopping by and bringing treats. #interiordesign #interiordesignaustin #surprise #cookies";;@DWR_Tweets;#interiordesign #interiordesignaustin #surprise #cookies;"639225984189730816";https://twitter.com/Paulaables/status/639225984189730816
TheDonutShop;2015-09-02 16:58;0;0;"Found Donut photo (not mine) .. enjoy LMAO HAPPY BIRTHDAY I LOVE YOU 🎉 🎉 🎉 🎉 🎉 🎉 #midnight #surprise #happy #smiley #don …";;;#midnight #surprise #happy #smiley #don;"639225960584364032";https://twitter.com/TheDonutShop/status/639225960584364032
zayumitsmaria;2015-09-02 16:54;0;1;"@JuanPabloMusic1 you know it! Wow is this you actually tweeting back?? Haha #shocker 😂";;@JuanPabloMusic1;#shocker;"639224968471941121";https://twitter.com/zayumitsmaria/status/639224968471941121
thehotboxca;2015-09-02 16:54;0;1;"#Surprise ! We are @GuardianGames until 8 tonight. #pdxeats #BBQ #Sandwich";;@GuardianGames;#Surprise #pdxeats #BBQ #Sandwich;"639224887949684736";https://twitter.com/thehotboxca/status/639224887949684736
Cheffords;2015-09-02 16:52;0;0;"Ran into a whole group of folks from @QLTechnology on my bike ride home today. They were at the canoe livery in Geddes Park #surprise";;@QLTechnology;#surprise;"639224469110812672";https://twitter.com/Cheffords/status/639224469110812672
RedStitches_;2015-09-02 16:51;0;0;"Huge news story on the week before college football season opens... Teams are not revealing who will be the starting QB. #Shocker";;;#Shocker;"639224035965071360";https://twitter.com/RedStitches_/status/639224035965071360
hmfh7;2015-09-02 16:49;0;3;"Nana and papa surprised Jaivon with a car for his bday #surprise … https://instagram.com/p/7JbINYzbL0DpIJuj0bvY-UFwImvQyrOTigdng0/";Plantation, FL;;#surprise;"639223656237895681";https://twitter.com/hmfh7/status/639223656237895681
KJewlzz;2015-09-02 16:47;0;0;"My baby is finally getting the credit it deserves... #WakeUpCall https://instagram.com/p/7Ja2OWlQwvXcecyTkmGYzcmZUaywY160p9MOo0/";;;#WakeUpCall;"639223037804548096";https://twitter.com/KJewlzz/status/639223037804548096
JustBBWCams;2015-09-02 16:45;0;0;"ValleryVixen taking private shows join her! click the link here -> http://bit.ly/1BztINC #cams #bombshell #bbw #fat #fantasy #shows #fetish";;;#cams #bombshell #bbw #fat #fantasy #shows #fetish;"639222658203320320";https://twitter.com/JustBBWCams/status/639222658203320320
IAMYENDI;2015-09-03 16:57;1;5;"#YendisThirtyIn30 #Mumbai #India #LovingThisThingCalledLife #EyeOpener https://instagram.com/p/7MAwjJlp1H/";;;#YendisThirtyIn30 #Mumbai #India #LovingThisThingCalledLife #EyeOpener;"639587938691645440";https://twitter.com/IAMYENDI/status/639587938691645440
westhampiper;2015-09-03 16:56;0;0;"@ABC :Sacramento college locked down after1injured in shooting near campus: http://abcn.ws/1fY6Qla #surprise Wild West again @piersmorgan 💡 🐖";;@ABC @piersmorgan;#surprise;"639587787990245377";https://twitter.com/westhampiper/status/639587787990245377
penskeautomall;2015-09-03 16:54;0;0;"Making a #career move in #Surprise ? Join our team! https://cards.twitter.com/cards/18ce53wvv2n/wbda";;;#career #Surprise;"639587237194264576";https://twitter.com/penskeautomall/status/639587237194264576
MissMysteryV;2015-09-03 16:49;0;0;"treesfall: thegestianpoet: someone take me out. either in the date way or the assassination way #surprise ... http://tmblr.co/ZOBEDs1tU_3Df";;;#surprise;"639586059819597824";https://twitter.com/MissMysteryV/status/639586059819597824
KYChickJacinda;2015-09-03 16:48;0;0;"#StaxFreshTrax #surprise #guestexpert #jasonclark 🎶 👍 😎 https://instagram.com/p/7L_2XMrJs4/";Memphis, TN;;#StaxFreshTrax #surprise #guestexpert #jasonclark;"639585881783975936";https://twitter.com/KYChickJacinda/status/639585881783975936
riley_nevada18;2015-09-04 16:59;0;0;"@randi_lahache thanQ m8 this is a big deal for me haha #shock";;@randi_lahache;#shock;"639950886052098048";https://twitter.com/riley_nevada18/status/639950886052098048
ActressAngela;2015-09-04 16:58;0;5;"So, this happened today. I am #engaged ! #Shocked and #Happy !";;;#engaged #Shocked #Happy;"639950777285390336";https://twitter.com/ActressAngela/status/639950777285390336
OmarPHTomasi;2015-09-04 16:57;0;0;"This should be illegal... I can't wait until this winter @Suits_USA @USA_Network #faith #FaithNoMore #shocked";;@Suits_USA @USA_Network;#faith #FaithNoMore #shocked;"639950506547351552";https://twitter.com/OmarPHTomasi/status/639950506547351552
Erszabet;2015-09-04 16:56;0;0;"Thanks twitter for the lovely #birthday #surprise lol ☺️ 😝 🎉";;;#birthday #surprise;"639950119283068929";https://twitter.com/Erszabet/status/639950119283068929
