username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MCAMATRIXTS;2015-09-01 16:59;0;0;"A #trusted name in the #U .S. & #Canada since 1926 join now http://goo.gl/NYRJ2K";;;#trusted #U #Canada;"638863901728227328";https://twitter.com/MCAMATRIXTS/status/638863901728227328
SteveMcCoy360;2015-09-01 16:59;0;2;"So true. Trust is the critical ingredient in relationships. #trust #relationships https://twitter.com/ryanreedme/status/638788432781799424";;;#trust #relationships;"638863736669798400";https://twitter.com/SteveMcCoy360/status/638863736669798400
gkanshima;2015-09-01 16:59;0;0;"Classic yet elegant 😊 😊 😊 😊 #trust me 👍 👍 👍 👍 #shimagkanshima #shimagkanshimacloset #malaysia … https://instagram.com/p/7G3cPDKUA1/";;;#trust #shimagkanshima #shimagkanshimacloset #malaysia;"638863704646381568";https://twitter.com/gkanshima/status/638863704646381568
kylehuckins;2015-09-01 16:59;0;0;"Today’s verse: “Be wise as serpents and harmless as doves” Matthew 10:16 #Revival #bornagain #Biblestudy #gospel #faith #blessed #HolySpirit";;;#Revival #bornagain #Biblestudy #gospel #faith #blessed #HolySpirit;"638863679023288320";https://twitter.com/kylehuckins/status/638863679023288320
fauowl220;2015-09-01 16:58;0;9;"Love this kid!! #Faith #HardWork #Dedication = 2 goals @lil_zimm";Wake Forest, NC;@lil_zimm;#Faith #HardWork #Dedication;"638863626066128896";https://twitter.com/fauowl220/status/638863626066128896
JonJonathanH;2015-09-01 16:58;0;1;"Their lies. Their greed. Their power. It's time to #shut them all down. #Evilworld ...Dangerous enemies. Deadly allies,who can you #TRUST ?";;;#shut #Evilworld #TRUST;"638863477931667456";https://twitter.com/JonJonathanH/status/638863477931667456
fathy1954;2015-09-01 16:57;0;0;"Abdur Rahman Ibn Auf was blessed with a lot of #wealth yet he is among the #BlessedTen as it did not enter his #heart or affect his #faith";;;#wealth #BlessedTen #heart #faith;"638863201418002432";https://twitter.com/fathy1954/status/638863201418002432
amalmo7mad;2015-09-01 16:56;0;0;"Uthman Ibn Affan was blessed with a lot of #wealth yet he is among the #BlessedTen as it did not enter his #heart or affect his #faith";;;#wealth #BlessedTen #heart #faith;"638863061181419521";https://twitter.com/amalmo7mad/status/638863061181419521
LiveMonologue;2015-09-01 16:56;0;0;"RT @HisBooski God can restore your marriage! #marriage #wedding #God #faith #prayer #pray … http://fxmb.info/1hSwbyT";;@HisBooski;#marriage #wedding #God #faith #prayer #pray;"638862921322225664";https://twitter.com/LiveMonologue/status/638862921322225664
Brendaepperson;2015-09-02 12:07;4;7;"Sometimes when u take a #Stand you have to #push some stuff out of your way. Have #faith #wildfaith";;;#Stand #push #faith #wildfaith;"639152806750896128";https://twitter.com/Brendaepperson/status/639152806750896128
HKProphecy;2015-09-02 16:58;0;0;"Testing the Fruit http://www.hiskingdomprophecy.com/testing-the-fruit/ #Prophecy #Christian #Scripture #Bible #Endtimes #Faith #Grace #Salvation #Jesus";;;#Prophecy #Christian #Scripture #Bible #Endtimes #Faith #Grace #Salvation #Jesus;"639225959158157312";https://twitter.com/HKProphecy/status/639225959158157312
PomaaArthur;2015-09-02 16:57;2;2;"I am a #woman of #faith ... #PCOS #Cyster #PCOSAwareness2015";;;#woman #faith #PCOS #Cyster #PCOSAwareness2015;"639225683286302724";https://twitter.com/PomaaArthur/status/639225683286302724
AmyBeth_Author;2015-09-02 16:57;0;0;"Happy Ever After's can only happen when there is a little #Faith around http://www.quotesrain.com/book/506/faith-by-Amy-Beth/";;;#Faith;"639225564167958528";https://twitter.com/AmyBeth_Author/status/639225564167958528
ftpdfan;2015-09-02 16:56;0;0;"I wanna fly away to my Neverland and never come back #faith #trust #pixiedust";;;#faith #trust #pixiedust;"639225345720369154";https://twitter.com/ftpdfan/status/639225345720369154
cpwhitemedia;2015-09-02 16:56;1;0;"If you're curious what the bleep we're thinking of over here: read this: http://www.cpwhitemedia.com/breakthrough-part-3/ #christianliving #faith";;;#christianliving #faith;"639225345183367168";https://twitter.com/cpwhitemedia/status/639225345183367168
Militis805;2015-09-02 16:55;0;0;"@addthis #saint #religion #faith #DVD Check out Patrick (DVD, 2007) Liam #Neeson , Gabriel Byrne http://www.ebay.com/itm/-/161793868645?rok";;@addthis;#saint #religion #faith #DVD #Neeson;"639225094707875840";https://twitter.com/Militis805/status/639225094707875840
TheTinaRodgers;2015-09-02 16:54;0;1;"Be good anyway, there is NO other way! #goodness #kindness #honesty #forgiveness #trust #potd #amen … https://instagram.com/p/7ImjGpIhDZ/";;;#goodness #kindness #honesty #forgiveness #trust #potd #amen;"639224843871850496";https://twitter.com/TheTinaRodgers/status/639224843871850496
Not_forgotten73;2015-09-03 16:59;2;0;"God's GIFTS and His CALLS are irrevocable. Romans 11:29 @elenahkk #trust";;@elenahkk;#trust;"639588657544884224";https://twitter.com/Not_forgotten73/status/639588657544884224
shaunsmith;2015-09-03 16:58;2;4;"Dear Church, it's now past time for us to have deep conversations about what truly matters. #SyrianRefugees #faith";;;#SyrianRefugees #faith;"639588227339395078";https://twitter.com/shaunsmith/status/639588227339395078
JohnMasiulionis;2015-09-03 16:57;0;1;"God is conducting the orchestra of your #life . The key ingredients to see & feel all of this in your being are #gratitude , #faith , & #trust .";;;#life #gratitude #faith #trust;"639587994370994176";https://twitter.com/JohnMasiulionis/status/639587994370994176
bee_alive;2015-09-03 16:55;0;0;"#fedjudgeoathvskimdavisfaith #faith #belief #elected #bythepeople #jailed #oaths #bible #god #laws #workplace #obey #onemanonewoman";;;#fedjudgeoathvskimdavisfaith #faith #belief #elected #bythepeople #jailed #oaths #bible #god #laws #workplace #obey #onemanonewoman;"639587674349793280";https://twitter.com/bee_alive/status/639587674349793280
CreateSuccess;2015-09-03 16:55;0;0;"Well, this is the word of the day!! #BELIEF http://fb.me/7o6v8c5YJ";;;#BELIEF;"639587582762860544";https://twitter.com/CreateSuccess/status/639587582762860544
JoelBoggess;2015-09-03 16:55;0;0;"Love - the Ingredient in this Miracle Healing http://relaunchshow.com/218 #faith #healing #author #speaker";;;#faith #healing #author #speaker;"639587559845285892";https://twitter.com/JoelBoggess/status/639587559845285892
inspirepodcast;2015-09-03 16:55;0;0;""Success without significance really isn't #success at all" - @iamraysanders #inspiring #quote #inspire #faith";;@iamraysanders;#success #inspiring #quote #inspire #faith;"639587540148842497";https://twitter.com/inspirepodcast/status/639587540148842497
TerryMinorSr;2015-09-03 16:55;1;1;"To defeat the enemy, you have to overcome what you see, with words! -Terry Minor Sr #ConditionChange #faith #believe http://www.tmim.org";;;#ConditionChange #faith #believe;"639587529046388737";https://twitter.com/TerryMinorSr/status/639587529046388737
4DPRStrategies;2015-09-03 16:55;0;1;"Final 30 Days to support client @LivintheHouse #film project at @Indiegogo about #bluesmusic #faith #addicition http://ow.ly/RqgIw";;@LivintheHouse @Indiegogo;#film #bluesmusic #faith #addicition;"639587518514597888";https://twitter.com/4DPRStrategies/status/639587518514597888
xxZoeRossxx;2015-09-04 16:59;0;0;"#trust #truth #deep #thoughts #thoughtoftheday #cantsleep #life https://instagram.com/p/7Ol01nEfW9/";;;#trust #truth #deep #thoughts #thoughtoftheday #cantsleep #life;"639950870998851584";https://twitter.com/xxZoeRossxx/status/639950870998851584
inspirepodcast;2015-09-04 16:58;0;0;"Embracing the Messiness of Life http://bit.ly/1vtmJAq #inspiring #mom #parenting #family #faith #jesus #christian";;;#inspiring #mom #parenting #family #faith #jesus #christian;"639950719668355073";https://twitter.com/inspirepodcast/status/639950719668355073
Love_McPherson;2015-09-04 16:58;1;0;"You're already wrong. #love #marriage #cheaters #Romance #dating #trust";Chicago, IL;;#love #marriage #cheaters #Romance #dating #trust;"639950657944952833";https://twitter.com/Love_McPherson/status/639950657944952833
4ever_NayNay;2015-09-04 16:58;0;0;"When one doors closes another one opens #Faith #Blessings";;;#Faith #Blessings;"639950631042711552";https://twitter.com/4ever_NayNay/status/639950631042711552
OmarPHTomasi;2015-09-04 16:57;0;0;"This should be illegal... I can't wait until this winter @Suits_USA @USA_Network #faith #FaithNoMore #shocked";;@Suits_USA @USA_Network;#faith #FaithNoMore #shocked;"639950506547351552";https://twitter.com/OmarPHTomasi/status/639950506547351552
GreatSciFiBooks;2015-09-04 16:56;0;0;"Great reviews for Blind #Faith - See what everyone's talking about http://www.amazon.com/dp/0982083890/ebookstobel0c-20";;;#Faith;"639950213898113024";https://twitter.com/GreatSciFiBooks/status/639950213898113024
